Date,TOEI ANIMATION,IG Port
2015-01-01,3356.86,1201.51
2015-01-02,3356.86,1201.51
2015-01-05,3396.12,1218.44
2015-01-06,3361.77,1201.51
2015-01-07,3297.97,1202.51
2015-01-08,3415.75,1213.46
2015-01-09,3513.9,1213.46
2015-01-12,3513.9,1213.46
2015-01-13,3435.38,1218.44
2015-01-14,3592.43,1259.25
2015-01-15,3715.12,1233.37
2015-01-16,3872.16,1209.48
2015-01-19,3877.07,1196.54
2015-01-20,3832.9,1198.53
2015-01-21,3832.9,1201.51
2015-01-22,3818.18,1190.56
2015-01-23,3739.66,1233.37
2015-01-26,3774.01,1221.42
2015-01-27,3818.18,1220.43
2015-01-28,3832.9,1213.46
2015-01-29,3916.33,1198.53
2015-01-30,3965.41,1228.39
2015-02-02,3484.46,1214.45
2015-02-03,3607.15,1289.11
2015-02-04,3582.61,1311.01
2015-02-05,3592.43,1323.95
2015-02-06,3597.33,1256.26
2015-02-09,3646.41,1268.21
2015-02-10,3646.41,1270.2
2015-02-11,3646.41,1270.2
2015-02-12,3631.69,1289.11
2015-02-13,3484.46,1308.03
2015-02-16,3459.92,1301.06
2015-02-17,3513.9,1264.23
2015-02-18,3597.33,1284.14
2015-02-19,3631.69,1269.2
2015-02-20,3690.58,1287.12
2015-02-23,3680.77,1291.1
2015-02-24,3646.41,1343.86
2015-02-25,3661.13,1369.74
2015-02-26,3715.12,1349.84
2015-02-27,3729.84,1328.93
2015-03-02,3680.77,1353.82
2015-03-03,3661.13,1334.9
2015-03-04,3661.13,1311.01
2015-03-05,3616.97,1321.96
2015-03-06,3616.97,1333.91
2015-03-09,3631.69,1348.84
2015-03-10,3616.97,1347.84
2015-03-11,3641.5,1413.54
2015-03-12,3680.77,1408.57
2015-03-13,3680.77,1398.61
2015-03-16,3680.77,1412.55
2015-03-17,3661.13,1393.64
2015-03-18,3636.6,1379.7
2015-03-19,3607.15,1385.67
2015-03-20,3538.44,1403.59
2015-03-23,3553.17,1422.5
2015-03-24,3670.95,1411.55
2015-03-25,3685.67,1391.64
2015-03-26,3641.5,1364.77
2015-03-27,3557.39,1306.04
2015-03-30,3532.65,1353.82
2015-03-31,3512.86,1338.89
2015-04-01,3512.86,1339.88
2015-04-02,3522.76,1333.91
2015-04-03,3522.76,1356.8
2015-04-06,3488.12,1381.69
2015-04-07,3502.97,1383.68
2015-04-08,3463.39,1411.55
2015-04-09,3443.6,1388.66
2015-04-10,3428.75,1448.39
2015-04-13,3404.01,1274.18
2015-04-14,3493.07,1254.27
2015-04-15,3478.23,1239.34
2015-04-16,3458.44,1231.38
2015-04-17,3453.49,1215.45
2015-04-20,3418.86,1209.48
2015-04-21,3443.6,1181.6
2015-04-22,3463.39,1177.62
2015-04-23,3448.54,1164.68
2015-04-24,3483.18,1161.69
2015-04-27,3517.81,1168.66
2015-04-28,3507.92,1171.65
2015-04-29,3507.92,1171.65
2015-04-30,3542.55,1164.68
2015-05-01,3567.29,1168.66
2015-05-04,3567.29,1168.66
2015-05-05,3567.29,1168.66
2015-05-06,3567.29,1168.66
2015-05-07,3577.18,1169.66
2015-05-08,3557.39,1173.64
2015-05-11,3562.34,1165.68
2015-05-12,3537.6,1167.67
2015-05-13,3557.39,1172.64
2015-05-14,3547.5,1169.66
2015-05-15,3537.6,1170.65
2015-05-18,3547.5,1144.77
2015-05-19,3750.35,1154.73
2015-05-20,4235.23,1159.7
2015-05-21,3883.94,1163.69
2015-05-22,3893.84,1163.69
2015-05-25,3661.29,1164.68
2015-05-26,3621.71,1163.69
2015-05-27,3656.35,1159.7
2015-05-28,3656.35,1159.7
2015-05-29,3681.08,1160.69
2015-06-01,3735.51,1159.7
2015-06-02,3770.14,1156.71
2015-06-03,3705.82,1155.71
2015-06-04,3710.77,1154.71
2015-06-05,3715.72,1147.73
2015-06-08,3750.35,1149.73
2015-06-09,3760.25,1141.75
2015-06-10,3784.99,1139.75
2015-06-11,3864.15,1148.73
2015-06-12,3849.31,1141.75
2015-06-15,3824.57,1134.77
2015-06-16,3809.73,1131.78
2015-06-17,3789.93,1163.69
2015-06-18,3794.88,1145.74
2015-06-19,3953.21,1152.72
2015-06-22,3859.2,1159.7
2015-06-23,3878.99,1155.71
2015-06-24,3859.2,1148.73
2015-06-25,3888.89,1143.74
2015-06-26,3883.94,1136.76
2015-06-29,3943.31,1096.88
2015-06-30,4076.9,1090.89
2015-07-01,4136.27,1138.76
2015-07-02,4131.33,1135.77
2015-07-03,4071.95,1138.76
2015-07-06,4027.42,1136.76
2015-07-07,4067.01,1122.8
2015-07-08,3888.89,1126.79
2015-07-09,3888.89,1056.99
2015-07-10,3874.05,1067.96
2015-07-13,3883.94,1011.12
2015-07-14,3864.15,1021.09
2015-07-15,3859.2,1025.08
2015-07-16,3869.1,1055.99
2015-07-17,3864.15,1052.0
2015-07-20,3864.15,1052.0
2015-07-21,3794.88,1032.06
2015-07-22,3789.93,1022.09
2015-07-23,3844.36,1011.12
2015-07-24,3829.52,1014.11
2015-07-27,3814.67,1012.12
2015-07-28,3849.31,1010.12
2015-07-29,3859.2,1015.11
2015-07-30,3864.15,1017.1
2015-07-31,3869.1,1023.09
2015-08-03,3958.16,1026.08
2015-08-04,3987.84,994.17
2015-08-05,4205.54,954.28
2015-08-06,4264.91,952.29
2015-08-07,4264.91,954.28
2015-08-10,4339.13,897.44
2015-08-11,4255.02,846.59
2015-08-12,4319.34,857.56
2015-08-13,4497.45,867.53
2015-08-14,4799.26,888.47
2015-08-17,4655.78,896.45
2015-08-18,4566.72,931.35
2015-08-19,4655.78,937.33
2015-08-20,4606.3,933.34
2015-08-21,4462.82,897.44
2015-08-24,4235.23,808.7
2015-08-25,4264.91,741.89
2015-08-26,4640.94,789.75
2015-08-27,4586.51,832.63
2015-08-28,4611.25,839.61
2015-08-31,4571.67,841.6
2015-09-01,4457.87,839.61
2015-09-02,4591.46,832.63
2015-09-03,4527.14,821.66
2015-09-04,4502.4,808.7
2015-09-07,4492.51,804.71
2015-09-08,4284.7,757.84
2015-09-09,4259.97,797.73
2015-09-10,4111.53,810.69
2015-09-11,4309.44,833.63
2015-09-14,4309.44,868.53
2015-09-15,4383.66,894.45
2015-09-16,4393.55,883.48
2015-09-17,4299.55,892.46
2015-09-18,4329.23,888.47
2015-09-21,4329.23,888.47
2015-09-22,4329.23,888.47
2015-09-23,4329.23,888.47
2015-09-24,4502.4,869.52
2015-09-25,4368.81,871.52
2015-09-28,4344.08,862.54
2015-09-29,4339.13,859.55
2015-09-30,4428.19,862.54
2015-10-01,4492.51,867.53
2015-10-02,4423.24,867.53
2015-10-05,4358.92,906.42
2015-10-06,4309.44,897.44
2015-10-07,4255.02,888.47
2015-10-08,4680.52,892.46
2015-10-09,4601.36,893.46
2015-10-12,4601.36,893.46
2015-10-13,4344.08,891.46
2015-10-14,4635.99,875.51
2015-10-15,4804.21,867.53
2015-10-16,4878.43,861.55
2015-10-19,4670.62,853.57
2015-10-20,4650.83,852.57
2015-10-21,4660.73,837.61
2015-10-22,4532.09,843.6
2015-10-23,4556.83,845.59
2015-10-26,4695.36,847.59
2015-10-27,4655.78,846.59
2015-10-28,5294.03,847.59
2015-10-29,5274.24,836.62
2015-10-30,5155.5,837.61
2015-11-02,5294.03,837.61
2015-11-03,5294.03,837.61
2015-11-04,5343.51,832.63
2015-11-05,5422.67,809.69
2015-11-06,5600.79,810.69
2015-11-09,5917.44,811.69
2015-11-10,5640.37,822.66
2015-11-11,5679.95,821.66
2015-11-12,6006.5,844.59
2015-11-13,5996.61,887.47
2015-11-16,5828.38,889.47
2015-11-17,5937.23,887.47
2015-11-18,5986.71,895.45
2015-11-19,5907.55,897.44
2015-11-20,5858.07,926.36
2015-11-23,5858.07,926.36
2015-11-24,5877.86,922.37
2015-11-25,6046.08,923.37
2015-11-26,6135.14,912.4
2015-11-27,5976.82,910.41
2015-11-30,5897.65,907.42
2015-12-01,5947.13,910.41
2015-12-02,5917.44,896.45
2015-12-03,5917.44,893.46
2015-12-04,5867.97,888.47
2015-12-07,5917.44,892.46
2015-12-08,5937.23,890.46
2015-12-09,5838.28,890.46
2015-12-10,5877.86,890.46
2015-12-11,5848.18,891.46
2015-12-14,5729.43,885.48
2015-12-15,5581.0,887.47
2015-12-16,5739.33,883.48
2015-12-17,5907.55,883.48
2015-12-18,5966.92,882.49
2015-12-21,5818.49,865.53
2015-12-22,5640.37,866.53
2015-12-23,5640.37,866.53
2015-12-24,5323.72,838.61
2015-12-25,5412.78,802.71
2015-12-28,5679.95,811.69
2015-12-29,5650.27,807.7
2015-12-30,5867.97,817.67
2015-12-31,5867.97,817.67
2016-01-01,5867.97,817.67
2016-01-04,5699.74,822.66
2016-01-05,5551.31,831.63
2016-01-06,5620.58,824.65
2016-01-07,5353.41,818.67
2016-01-08,5274.24,817.67
2016-01-11,5274.24,817.67
2016-01-12,4942.75,792.74
2016-01-13,5392.99,805.71
2016-01-14,5254.45,787.76
2016-01-15,5274.24,797.73
2016-01-18,5313.82,752.86
2016-01-19,5244.56,759.84
2016-01-20,5046.65,727.93
2016-01-21,5185.18,628.21
2016-01-22,5333.62,666.1
2016-01-25,5452.36,704.99
2016-01-26,5491.94,702.0
2016-01-27,5521.63,721.94
2016-01-28,5679.95,733.91
2016-01-29,5670.06,739.89
2016-02-01,5234.66,732.91
2016-02-02,5096.13,770.8
2016-02-03,4789.37,779.78
2016-02-04,4522.19,885.48
2016-02-05,4477.66,907.42
2016-02-08,4685.47,902.43
2016-02-09,4428.19,872.51
2016-02-10,4274.81,857.56
2016-02-11,4274.81,857.56
2016-02-12,4022.48,799.72
2016-02-15,4349.02,828.64
2016-02-16,4541.98,847.59
2016-02-17,4447.98,867.53
2016-02-18,4408.4,861.55
2016-02-19,4274.81,875.51
2016-02-22,4383.66,872.51
2016-02-23,4418.29,865.53
2016-02-24,4274.81,875.51
2016-02-25,4467.77,879.49
2016-02-26,4447.98,879.49
2016-02-29,4616.2,873.51
2016-03-01,4512.3,885.48
2016-03-02,4705.26,886.48
2016-03-03,4606.3,881.49
2016-03-04,4645.89,893.46
2016-03-07,4690.41,897.44
2016-03-08,4759.68,893.46
2016-03-09,4695.36,895.45
2016-03-10,4819.05,900.44
2016-03-11,4730.0,897.44
2016-03-14,4942.75,899.44
2016-03-15,5007.07,897.44
2016-03-16,4997.17,892.46
2016-03-17,5036.75,900.44
2016-03-18,4927.9,885.48
2016-03-21,4927.9,885.48
2016-03-22,4947.69,888.47
2016-03-23,5155.5,891.46
2016-03-24,5145.6,894.45
2016-03-25,5155.5,884.48
2016-03-28,5036.75,893.46
2016-03-29,5026.8,893.46
2016-03-30,4986.98,892.46
2016-03-31,5006.89,892.46
2016-04-01,4777.95,892.46
2016-04-04,4767.99,880.49
2016-04-05,4628.64,839.61
2016-04-06,4643.57,989.18
2016-04-07,4653.52,907.42
2016-04-08,4852.6,876.5
2016-04-11,4827.72,891.46
2016-04-12,4832.7,1041.03
2016-04-13,4777.95,1006.13
2016-04-14,4827.72,1017.1
2016-04-15,4767.99,1025.08
2016-04-18,4713.25,994.17
2016-04-19,4777.95,983.2
2016-04-20,4797.86,942.32
2016-04-21,5006.89,964.25
2016-04-22,4977.03,977.22
2016-04-25,4962.1,955.28
2016-04-26,4937.21,933.34
2016-04-27,4867.53,951.29
2016-04-28,4887.44,928.36
2016-04-29,4887.44,928.36
2016-05-02,4703.29,933.34
2016-05-03,4703.29,933.34
2016-05-04,4703.29,933.34
2016-05-05,4703.29,933.34
2016-05-06,4678.41,953.28
2016-05-09,4683.38,988.19
2016-05-10,4772.97,1071.95
2016-05-11,4932.24,1002.15
2016-05-12,4867.53,984.2
2016-05-13,5096.48,999.15
2016-05-16,5096.48,928.36
2016-05-17,5046.71,945.31
2016-05-18,5026.8,922.37
2016-05-19,4957.12,939.32
2016-05-20,5066.62,944.31
2016-05-23,4967.07,1062.97
2016-05-24,4942.19,1023.09
2016-05-25,4867.53,1092.89
2016-05-26,4972.05,1113.83
2016-05-27,4977.03,1068.87
2016-05-30,5036.75,1239.7
2016-05-31,5026.8,1263.67
2016-06-01,5026.8,1270.66
2016-06-02,5156.2,1243.69
2016-06-03,5225.88,1343.59
2016-06-06,5215.93,1377.55
2016-06-07,5415.01,1381.55
2016-06-08,5345.33,1299.63
2016-06-09,5245.79,1231.7
2016-06-10,5285.6,1238.7
2016-06-13,5156.2,1173.76
2016-06-14,5166.16,1105.84
2016-06-15,5116.39,1117.82
2016-06-16,4972.05,1010.94
2016-06-17,4986.98,1027.92
2016-06-20,5146.25,1073.87
2016-06-21,5176.11,1048.9
2016-06-22,5086.52,993.95
2016-06-23,5026.8,1008.94
2016-06-24,4892.42,919.03
2016-06-27,5076.57,980.97
2016-06-28,5136.29,968.98
2016-06-29,5126.34,971.98
2016-06-30,5166.16,981.97
2016-07-01,5136.29,994.95
2016-07-04,5116.39,1003.94
2016-07-05,4986.98,1025.92
2016-07-06,4977.03,988.96
2016-07-07,5016.85,953.0
2016-07-08,4952.14,929.02
2016-07-11,4917.3,978.97
2016-07-12,4922.28,998.95
2016-07-13,4937.21,1004.94
2016-07-14,4947.17,1033.91
2016-07-15,4962.1,1043.9
2016-07-18,4962.1,1043.9
2016-07-19,4827.72,1017.93
2016-07-20,4897.4,1055.89
2016-07-21,4792.88,1148.79
2016-07-22,4787.9,1059.88
2016-07-25,4777.95,1052.89
2016-07-26,4967.07,997.95
2016-07-27,5096.48,980.97
2016-07-28,4996.94,983.96
2016-07-29,5126.34,996.95
2016-08-01,5365.24,993.95
2016-08-02,5584.23,986.96
2016-08-03,5375.19,979.97
2016-08-04,5375.19,986.96
2016-08-05,5385.15,978.97
2016-08-08,5474.73,954.0
2016-08-09,5385.15,946.0
2016-08-10,5405.05,952.0
2016-08-11,5405.05,952.0
2016-08-12,5305.51,988.96
2016-08-15,5205.97,967.98
2016-08-16,5116.39,961.99
2016-08-17,5086.52,958.99
2016-08-18,4977.03,951.0
2016-08-19,4897.4,950.0
2016-08-22,5016.85,971.98
2016-08-23,4927.26,1001.95
2016-08-24,5016.85,996.95
2016-08-25,5156.2,1029.92
2016-08-26,5096.48,1014.93
2016-08-29,5096.48,1035.91
2016-08-30,5116.39,1031.91
2016-08-31,5305.51,1072.87
2016-09-01,5375.19,1185.75
2016-09-02,5315.47,1198.74
2016-09-05,5116.39,1278.65
2016-09-06,5245.79,1274.66
2016-09-07,5265.7,1287.64
2016-09-08,5176.11,1233.7
2016-09-09,5186.06,1315.62
2016-09-12,4977.03,1270.66
2016-09-13,5076.57,1358.57
2016-09-14,5136.29,1266.67
2016-09-15,5066.62,1566.35
2016-09-16,5196.02,1348.58
2016-09-19,5196.02,1348.58
2016-09-20,5086.52,1235.7
2016-09-21,5046.71,1208.73
2016-09-22,5046.71,1208.73
2016-09-23,5026.8,1223.71
2016-09-26,5036.75,1210.73
2016-09-27,5136.29,1199.74
2016-09-28,5056.66,1246.69
2016-09-29,5056.66,1243.69
2016-09-30,5046.71,1201.73
2016-10-03,5026.8,1164.77
2016-10-04,5016.85,1164.77
2016-10-05,5166.16,1188.75
2016-10-06,5166.16,1196.74
2016-10-07,5335.38,1227.71
2016-10-10,5335.38,1227.71
2016-10-11,5365.24,1244.69
2016-10-12,5365.24,1196.74
2016-10-13,5375.19,1217.72
2016-10-14,5484.69,1204.73
2016-10-17,5434.92,1258.68
2016-10-18,5474.73,1258.68
2016-10-19,5464.78,1248.69
2016-10-20,5415.01,1251.68
2016-10-21,5265.7,1255.68
2016-10-24,5275.65,1270.66
2016-10-25,5474.73,1270.66
2016-10-26,5395.1,1223.71
2016-10-27,5375.19,1208.73
2016-10-28,5504.59,1202.73
2016-10-31,5395.1,1202.73
2016-11-01,5405.05,1213.72
2016-11-02,5305.51,1160.78
2016-11-03,5305.51,1160.78
2016-11-04,5325.42,1104.84
2016-11-07,5424.96,1122.82
2016-11-08,5434.92,1106.83
2016-11-09,5355.28,1069.87
2016-11-10,5405.05,1144.79
2016-11-11,5504.59,1104.84
2016-11-14,5554.36,1154.78
2016-11-15,5624.04,1132.81
2016-11-16,5703.68,1166.77
2016-11-17,5862.94,1171.77
2016-11-18,5833.08,1205.73
2016-11-21,5972.43,1214.72
2016-11-22,5862.94,1243.69
2016-11-23,5862.94,1243.69
2016-11-24,5922.66,1300.63
2016-11-25,5833.08,1298.63
2016-11-28,5803.22,1288.64
2016-11-29,5823.12,1328.6
2016-11-30,5852.99,1327.6
2016-12-01,5803.22,1261.67
2016-12-02,5872.89,1267.67
2016-12-05,5773.35,1329.6
2016-12-06,5823.12,1327.6
2016-12-07,5862.94,1328.6
2016-12-08,5793.26,1319.61
2016-12-09,5773.35,1342.59
2016-12-12,5713.63,1322.61
2016-12-13,5763.4,1323.61
2016-12-14,5713.63,1302.63
2016-12-15,5723.58,1296.64
2016-12-16,5783.31,1286.65
2016-12-19,5773.35,1280.65
2016-12-20,5813.17,1298.63
2016-12-21,5823.12,1318.61
2016-12-22,5773.35,1294.64
2016-12-23,5773.35,1294.64
2016-12-26,5783.31,1337.59
2016-12-27,5843.03,1424.5
2016-12-28,5932.62,1549.37
2016-12-29,6012.25,1718.19
2016-12-30,6012.25,1728.18
